POP,ID,Flight_endurance,Body_mass,Flight_muscle_ratio,Fat_content
NV,scit_143:MRG:2:250226465,2.004321374,0.921738484,0.462207722,0.119147407
PM,scit_65:C2C9HACXX:5:250226332,2.68,0.74,0.42,0.1
PM,scit_66:C2C9HACXX:5:250226340,2.71,0.85,0.42,0.18
PM,scit_67:C2C9HACXX:5:250226348,3.01,0.79,0.47,0.16
PM,scit_68:C2C9HACXX:5:250226356,2.15,0.69,0.33,0.13
PM,scit_69:C2C9HACXX:5:250226364,2.05,0.67,0.38,0.14
PM,scit_71:C2C9HACXX:5:250226380,3.17,0.84,0.42,0.16
PM,scit_72:C2C9HACXX:5:250226388,2.37,0.72,0.42,0.1
PM,scit_73:C2C9HACXX:5:250226396,2.24,0.61,0.39,0.15
PM,scit_77:C2C9HACXX:5:250226333,2.84,0.72,0.4,0.12
PM,scit_62:C2C9HACXX:5:250226395,2.46,0.9,0.33,0.15
PM,scit_63:C2C9HACXX:5:250226403,3.26,0.86,0.42,0.21
PM,scit_64:C2C9HACXX:5:250226411,3.09,0.78,0.44,0.17
PM,scit_70:C2C9HACXX:5:250226372,2.67,0.77,0.39,0.15
PM,scit_75:C2C9HACXX:5:250226412,2.98,0.76,0.43,0.16
PM,scit_76:C2C9HACXX:5:250226325,2.99,0.8,0.43,0.13
PM,scit_78:C2C9HACXX:5:250226341,2.82,0.88,0.44,0.24
PM,scit_79:C2C9HACXX:5:250226349,2.21,0.94,0.35,0.3
PM,scit_80:C2C9HACXX:5:250226357,2.16,0.68,0.38,0.08
PM,scit_61:C2C9HACXX:5:250226387,3.07,0.83,0.42,0.15
PM,scit_74:C2C9HACXX:5:250226404,2.94,0.84,0.4,0.16
PR,scit_121:MRG:2:250226479,1.38,0.79,0.35,0.21
PR,scit_123:MRG:2:250226495,1.88,0.82,0.35,0.26
PR,scit_125:MRG:2:250226511,2.44,0.7,0.41,0.2
PR,scit_134:MRG:2:250226488,1.3,0.82,0.47,0.1
PR,scit_122:MRG:2:250226487,1,0.8,0.42,0.11
PR,scit_124:MRG:2:250226503,2.26,0.94,0.32,0.35
PR,scit_129:MRG:2:250226448,1.2,0.83,0.33,0.18
PR,scit_131:MRG:2:250226464,1.4,0.74,0.39,0.1
PR,scit_132:MRG:2:250226472,1.81,0.73,0.28,0.17
PR,scit_135:MRG:2:250226496,1.26,0.87,0.43,0.2
PR,scit_136:MRG:2:250226504,2.38,0.69,0.26,0.11
PR,scit_139:MRG:2:250226528,1.94,0.94,0.38,0.12
PR,scit_126:MRG:2:250226519,1.04,0.86,0.41,0.18
PR,scit_127:MRG:2:250226527,1.78,0.78,0.35,0.08
PR,scit_128:MRG:2:250226535,2.06,0.8,0.35,0.09
PR,scit_130:MRG:2:250226456,1.54,0.85,0.42,0.19
PR,scit_133:MRG:2:250226480,1.4,0.77,0.42,0.06
PR,scit_137:MRG:2:250226512,2.16,0.78,0.39,0.14
PR,scit_138:MRG:2:250226520,1.76,0.82,0.37,0.13
PR,scit_140:MRG:2:250226536,1.92,0.92,0.37,0.2
